"Date","Price","Open","High","Low","Vol.","Change %"
"15-03-2024","4,151.35","4,136.93","4,172.32","4,111.49","106.41K","0.25%"
"14-03-2024","4,141.17","4,078.07","4,147.61","4,022.70","50.20K","1.42%"
"13-03-2024","4,083.34","4,134.18","4,174.53","4,067.98","46.25K","-1.02%"
"12-03-2024","4,125.61","4,052.72","4,162.97","4,052.72","99.92K","1.69%"
"11-03-2024","4,056.86","4,016.35","4,087.91","4,016.35","105.73K","0.28%"
"07-03-2024","4,045.64","3,996.42","4,059.32","3,975.65","227.72K","1.10%"
"06-03-2024","4,001.54","3,953.16","4,008.09","3,897.25","70.50K","1.34%"
"05-03-2024","3,948.44","3,996.32","3,998.29","3,918.07","120.47K","-1.72%"
"04-03-2024","4,017.58","4,031.22","4,049.57","4,011.53","108.13K","-2.17%"
"02-03-2024","4,106.90","4,106.00","4,127.80","4,094.80","3.68K","1.86%"
"01-03-2024","4,032.05","4,031.17","4,074.97","4,023.74","120.95K","0.10%"
"29-02-2024","4,027.97","4,035.70","4,073.10","4,004.99","30.53K","-0.59%"
"28-02-2024","4,051.84","4,038.65","4,089.09","4,027.13","33.40K","0.33%"
"27-02-2024","4,038.45","3,937.07","4,059.96","3,934.36","334.83K","2.56%"
"26-02-2024","3,937.66","3,975.65","3,987.32","3,920.83","19.90K","-1.27%"
"23-02-2024","3,988.40","4,056.42","4,064.19","3,982.05","171.59K","-0.84%"
"22-02-2024","4,022.36","3,906.11","4,029.59","3,906.11","31.76K","2.44%"
"21-02-2024","3,926.73","3,955.82","3,999.28","3,917.58","24.38K","-1.01%"
"20-02-2024","3,966.74","4,025.75","4,034.56","3,948.19","30.28K","-1.75%"
"19-02-2024","4,037.27","4,054.54","4,057.01","3,991.50","56.84K","-0.67%"
"16-02-2024","4,064.44","4,047.56","4,081.96","4,036.58","132.82K","0.66%"
"15-02-2024","4,037.66","4,057.65","4,079.99","4,017.68","39.30K","0.02%"
"14-02-2024","4,036.68","4,037.71","4,049.97","3,986.04","15.21K","-1.16%"
"13-02-2024","4,084.07","4,055.43","4,103.96","4,018.37","21.92K","0.73%"
"12-02-2024","4,054.45","4,066.11","4,094.11","4,041.70","57.36K","-0.37%"
"09-02-2024","4,069.41","4,065.23","4,118.92","4,034.12","202.28K","-0.03%"
"08-02-2024","4,070.69","4,025.85","4,092.39","4,021.67","39.40K","1.28%"
"07-02-2024","4,019.16","4,075.22","4,090.87","4,008.97","271.05K","-1.22%"
"06-02-2024","4,068.62","3,937.26","4,084.67","3,924.57","107.33K","4.05%"
"05-02-2024","3,910.44","3,911.28","3,956.95","3,898.33","126.91K","0.16%"
"02-02-2024","3,904.14","3,799.46","3,919.60","3,799.46","178.43K","2.98%"
"01-02-2024","3,791.04","3,756.35","3,843.46","3,745.32","780.44K","0.96%"
"31-01-2024","3,754.92","3,744.49","3,774.75","3,737.45","32.38K","0.41%"
"30-01-2024","3,739.51","3,741.88","3,785.43","3,726.62","272.02K","-0.06%"
"29-01-2024","3,741.73","3,748.13","3,760.58","3,722.68","251.25K","-0.18%"
"25-01-2024","3,748.47","3,776.62","3,794.54","3,720.71","1.09M","-1.03%"
"24-01-2024","3,787.65","3,801.63","3,820.52","3,745.32","408.41K","-0.36%"
"23-01-2024","3,801.33","3,838.83","3,871.31","3,783.96","51.99K","-1.54%"
"20-01-2024","3,860.60","3,945.45","3,953.95","3,857.00","21.27K","-0.51%"
"19-01-2024","3,880.42","3,868.36","3,900.84","3,855.96","562.00K","1.46%"
"18-01-2024","3,824.56","3,811.53","3,828.97","3,783.90","99.42K","0.50%"
"17-01-2024","3,805.60","3,758.28","3,830.93","3,740.89","41.33K","0.60%"
"16-01-2024","3,782.92","3,823.34","3,823.34","3,777.29","25.45K","-1.06%"
"15-01-2024","3,823.48","3,872.52","3,884.82","3,806.44","89.12K","0.53%"
"12-01-2024","3,803.20","3,766.22","3,826.76","3,743.34","1.17M","3.89%"
"11-01-2024","3,660.64","3,647.71","3,695.72","3,633.01","205.19K","0.61%"
"10-01-2024","3,638.60","3,615.52","3,654.57","3,613.42","99.27K","0.64%"
"09-01-2024","3,615.52","3,643.65","3,676.22","3,608.67","87.20K","0.34%"
"08-01-2024","3,603.33","3,662.16","3,662.55","3,596.81","26.31K","-1.61%"
"05-01-2024","3,662.16","3,596.96","3,671.13","3,596.96","226.50K","1.93%"
"04-01-2024","3,592.84","3,625.18","3,643.94","3,577.71","113.46K","-0.67%"
"03-01-2024","3,616.90","3,693.76","3,693.76","3,613.61","101.89K","-2.42%"
"02-01-2024","3,706.74","3,737.26","3,737.26","3,690.28","28.30K","-0.72%"
"01-01-2024","3,733.54","3,715.32","3,754.41","3,696.50","68.85K","0.41%"
"29-12-2023","3,718.21","3,721.05","3,745.64","3,689.89","105.71K","-0.16%"
"28-12-2023","3,724.18","3,744.81","3,760.63","3,717.03","29.26K","-0.26%"
"27-12-2023","3,733.74","3,718.79","3,740.79","3,691.90","28.29K","0.43%"
"26-12-2023","3,717.86","3,703.66","3,756.32","3,703.66","70.22K","-0.80%"
"22-12-2023","3,747.94","3,719.53","3,768.18","3,686.61","127.16K","0.95%"
"21-12-2023","3,712.82","3,658.88","3,728.05","3,658.88","90.56K","0.24%"
"20-12-2023","3,703.90","3,744.32","3,820.00","3,691.80","60.72K","-0.83%"
"19-12-2023","3,735.01","3,763.72","3,774.10","3,714.34","54.14K","-1.19%"
"18-12-2023","3,779.98","3,781.94","3,849.50","3,753.72","73.33K","-0.05%"
"15-12-2023","3,781.99","3,586.18","3,815.30","3,586.18","272.43K","5.28%"
"14-12-2023","3,592.45","3,547.04","3,602.00","3,547.04","246.37K","2.03%"
"13-12-2023","3,521.07","3,567.37","3,576.19","3,491.00","115.77K","-2.13%"
"12-12-2023","3,597.79","3,566.39","3,624.20","3,558.75","77.39K","0.82%"
"11-12-2023","3,568.54","3,553.06","3,578.83","3,549.73","22.17K","0.44%"
"08-12-2023","3,553.06","3,546.94","3,570.31","3,528.32","274.34K","0.27%"
"07-12-2023","3,543.56","3,543.81","3,557.57","3,519.70","37.04K","0.37%"
"06-12-2023","3,530.48","3,459.05","3,539.35","3,455.58","48.86K","2.08%"
"05-12-2023","3,458.52","3,465.47","3,465.47","3,432.16","77.72K","0.58%"
"04-12-2023","3,438.68","3,461.60","3,473.31","3,428.24","48.29K","0.00%"
"01-12-2023","3,438.63","3,424.42","3,446.02","3,419.42","441.82K","0.46%"
"30-11-2023","3,422.75","3,436.52","3,443.92","3,410.90","46.36K","-0.56%"
"29-11-2023","3,442.06","3,404.87","3,445.88","3,404.87","98.29K","1.23%"
"28-11-2023","3,400.27","3,383.17","3,409.63","3,362.20","58.92K","0.37%"
"24-11-2023","3,387.68","3,428.24","3,434.02","3,382.44","365.54K","-1.46%"
"23-11-2023","3,437.99","3,468.17","3,471.74","3,428.24","196.04K","-0.59%"
"22-11-2023","3,458.47","3,421.43","3,461.01","3,410.60","114.86K","0.56%"
"21-11-2023","3,439.31","3,451.75","3,467.82","3,431.18","48.66K","-0.26%"
"20-11-2023","3,448.13","3,423.29","3,461.65","3,422.36","80.44K","0.48%"
"17-11-2023","3,431.82","3,447.79","3,453.23","3,423.39","271.38K","0.13%"
"16-11-2023","3,427.26","3,396.89","3,457.63","3,346.43","169.90K","2.90%"
"15-11-2023","3,330.56","3,316.64","3,343.98","3,292.05","128.17K","2.03%"
"13-11-2023","3,264.32","3,282.25","3,289.11","3,259.72","32.99K","-2.80%"
"12-11-2023","3,358.35","3,359.95","3,360.00","3,350.60","8.20K","2.85%"
"10-11-2023","3,265.40","3,276.33","3,279.31","3,255.16","253.51K","-0.46%"
"09-11-2023","3,280.54","3,322.43","3,323.90","3,275.40","35.06K","-0.96%"
"08-11-2023","3,312.38","3,309.64","3,333.20","3,303.66","68.33K","0.32%"
"07-11-2023","3,301.95","3,316.55","3,335.70","3,297.98","38.45K","-0.45%"
"06-11-2023","3,316.89","3,295.97","3,325.02","3,292.05","14.21K","1.03%"
"03-11-2023","3,283.09","3,318.90","3,318.90","3,278.29","124.56K","-0.27%"
"02-11-2023","3,292.00","3,273.98","3,306.75","3,273.98","39.44K","0.82%"
"01-11-2023","3,265.16","3,286.91","3,303.71","3,246.00","16.07K","-1.06%"
"31-10-2023","3,300.09","3,317.57","3,329.58","3,282.79","47.08K","-0.32%"
"30-10-2023","3,310.62","3,286.17","3,314.49","3,265.84","17.19K","0.85%"
"27-10-2023","3,282.79","3,289.99","3,295.04","3,270.99","342.62K","0.38%"
"26-10-2023","3,270.25","3,301.70","3,304.30","3,263.05","155.48K","-1.54%"
"25-10-2023","3,321.30","3,331.19","3,356.62","3,308.71","32.27K","-0.56%"
"23-10-2023","3,340.06","3,404.73","3,409.72","3,332.91","26.55K","-2.44%"
"20-10-2023","3,423.59","3,384.84","3,429.66","3,374.40","391.51K","1.14%"
"19-10-2023","3,384.89","3,403.70","3,408.01","3,382.04","216.69K","-0.93%"
"18-10-2023","3,416.63","3,436.18","3,452.29","3,414.52","35.99K","-0.56%"
"17-10-2023","3,435.74","3,465.42","3,465.42","3,432.50","79.40K","-0.50%"
"16-10-2023","3,452.88","3,492.86","3,502.66","3,446.61","41.61K","-1.29%"
