"Date","Price","Open","High","Low","Vol.","Change %"
"25-09-2019","792.65","787.70","801.00","781.65","9.31M","-0.18%"
"24-09-2019","794.05","765.00","798.65","765.00","13.72M","3.89%"
"23-09-2019","764.35","806.90","806.90","741.90","17.28M","-5.05%"
"20-09-2019","805.00","822.90","835.00","802.00","22.46M","-1.91%"
"19-09-2019","820.70","824.85","827.00","815.20","6.60M","-1.10%"
"18-09-2019","829.85","829.90","832.95","824.00","3.20M","-0.17%"
"17-09-2019","831.25","831.50","835.00","820.55","5.54M","0.43%"
"16-09-2019","827.70","832.05","837.95","820.55","4.85M","-0.19%"
"13-09-2019","829.30","818.10","831.05","817.50","4.83M","1.58%"
"12-09-2019","816.40","816.40","819.85","810.85","4.40M","-0.45%"
"11-09-2019","820.10","822.30","828.55","814.15","7.98M","-1.09%"
"09-09-2019","829.10","836.80","840.30","827.55","4.38M","-1.32%"
"06-09-2019","840.15","843.30","847.00","835.05","6.11M","0.73%"
"05-09-2019","834.05","830.10","837.50","826.65","7.93M","1.55%"
"04-09-2019","821.30","810.75","822.45","810.25","6.20M","0.87%"
"03-09-2019","814.25","815.00","822.40","812.05","5.65M","-0.08%"
"30-08-2019","814.90","810.00","817.35","802.00","8.17M","0.99%"
"29-08-2019","806.95","795.50","809.70","795.50","7.83M","0.55%"
"28-08-2019","802.50","787.40","805.00","786.30","5.88M","2.27%"
"27-08-2019","784.65","791.00","794.95","781.10","16.06M","-2.23%"
"26-08-2019","802.55","795.90","806.80","786.90","5.41M","0.04%"
"23-08-2019","802.20","796.45","809.95","795.80","6.90M","0.82%"
"22-08-2019","795.70","799.90","801.30","792.35","5.22M","-0.47%"
"21-08-2019","799.45","793.00","803.75","793.00","5.93M","0.85%"
"20-08-2019","792.75","785.20","798.00","783.85","8.44M","1.94%"
"19-08-2019","777.65","775.60","783.00","773.35","3.88M","0.40%"
"16-08-2019","774.55","780.00","780.05","762.50","5.13M","-0.03%"
"14-08-2019","774.80","775.10","778.25","768.00","5.94M","1.31%"
"13-08-2019","764.75","784.15","786.00","760.15","7.52M","-3.18%"
"09-08-2019","789.85","792.00","796.75","784.80","4.36M","0.14%"
"08-08-2019","788.75","782.70","792.75","781.25","8.01M","1.63%"
"07-08-2019","776.10","778.90","783.45","772.35","5.13M","0.21%"
"06-08-2019","774.45","778.80","783.70","769.80","9.33M","-0.29%"
"05-08-2019","776.70","772.60","785.90","768.65","9.98M","0.14%"
"02-08-2019","775.60","765.05","779.90","762.25","10.84M","0.88%"
"01-08-2019","768.85","786.45","788.40","764.40","10.07M","-3.12%"
"31-07-2019","793.65","790.85","799.80","781.60","7.35M","0.12%"
"30-07-2019","792.70","791.90","797.80","788.55","8.67M","0.16%"
"29-07-2019","791.45","789.50","796.95","786.20","6.24M","0.57%"
"26-07-2019","787.00","792.30","795.00","782.20","4.94M","-0.94%"
"25-07-2019","794.50","788.25","800.20","787.65","9.77M","1.04%"
"24-07-2019","786.30","788.00","793.75","783.60","5.75M","-0.47%"
"23-07-2019","790.05","787.00","804.00","785.55","10.78M","0.72%"
"22-07-2019","784.40","785.95","792.00","782.05","7.11M","-0.13%"
"19-07-2019","785.40","788.70","794.50","781.25","6.81M","-0.92%"
"18-07-2019","792.70","789.05","798.50","786.20","6.53M","-0.18%"
"17-07-2019","794.15","783.90","795.00","776.75","6.75M","1.18%"
"16-07-2019","784.85","777.00","787.80","776.00","9.92M","0.71%"
"15-07-2019","779.35","763.00","781.65","754.20","31.06M","7.24%"
"12-07-2019","726.75","722.50","730.60","719.60","7.87M","0.73%"
"11-07-2019","721.50","719.45","723.50","709.60","6.25M","0.59%"
"10-07-2019","717.25","709.00","722.70","706.50","7.57M","0.24%"
"09-07-2019","715.50","718.00","719.85","709.05","5.02M","-0.29%"
"08-07-2019","717.60","716.45","724.95","712.30","7.18M","-0.06%"
"05-07-2019","718.00","735.00","736.40","713.50","4.93M","-2.15%"
"04-07-2019","733.80","729.00","736.40","728.60","3.27M","0.34%"
"03-07-2019","731.30","741.00","743.20","730.00","5.96M","-1.18%"
"02-07-2019","740.00","734.00","741.65","730.10","4.84M","1.19%"
"01-07-2019","731.30","735.00","737.50","729.85","3.22M","-0.10%"
"28-06-2019","732.00","735.50","739.50","728.50","5.92M","0.20%"
"27-06-2019","730.55","742.00","744.70","728.15","11.12M","-1.17%"
"26-06-2019","739.20","743.00","751.45","738.00","5.45M","-1.19%"
"25-06-2019","748.10","744.00","750.90","737.30","3.68M","0.35%"
"24-06-2019","745.50","751.90","751.90","742.65","4.76M","-0.63%"
"21-06-2019","750.20","755.00","755.00","747.15","13.20M","-0.62%"
"20-06-2019","754.90","737.80","756.90","735.90","7.15M","0.40%"
"19-06-2019","751.90","752.50","755.40","748.60","4.60M","0.23%"
"18-06-2019","750.15","740.20","752.45","740.20","6.20M","1.30%"
"17-06-2019","740.55","743.00","744.50","737.80","3.09M","0.01%"
"14-06-2019","740.45","743.85","745.50","738.25","5.56M","-0.30%"
"13-06-2019","742.65","740.00","747.20","740.00","4.81M","-1.48%"
"12-06-2019","753.80","756.95","756.95","745.00","8.74M","-0.15%"
"11-06-2019","754.90","755.00","759.00","750.50","5.73M","0.19%"
"10-06-2019","753.50","740.10","754.10","740.10","4.44M","1.95%"
"07-06-2019","739.10","735.85","743.95","735.85","3.22M","0.48%"
"06-06-2019","735.60","736.50","744.65","733.65","7.56M","0.04%"
"04-06-2019","735.30","737.25","739.45","733.15","11.73M","-1.26%"
"03-06-2019","744.65","729.80","750.90","729.00","7.74M","0.94%"
"31-05-2019","737.75","736.50","742.95","733.20","8.29M","0.57%"
"30-05-2019","733.55","727.00","737.25","722.55","15.09M","0.79%"
"29-05-2019","727.80","725.50","733.65","723.65","10.29M","-0.04%"
